,0,1,2
70,1178974829669683200,2019-10-01 10:07:58,"b'RT @realDonaldTrump: BIG NEWS by @Hyundai, @Kia, and @Aptiv on a 4 BILLION DOLLAR joint venture to develop autonomous driving technologies\xe2\x80\xa6'"
71,1178974732772925441,2019-10-01 10:07:35,b'RT @realDonaldTrump: Great news! @Apple announced that it is building its new Mac Pro in Texas. This means hundreds of American jobs in Aus\xe2\x80\xa6'
72,1178972013416898562,2019-10-01 09:56:46,b'RT @realDonaldTrump: Navistar will be building a new 250 MILLION DOLLAR truck factory in San Antonio with 600 new jobs. Congratulations San\xe2\x80\xa6'
73,1178889263087308800,2019-10-01 04:27:57,"b'RT @MariaBartiromo: House Democrats should stop delaying and put the country first by passing the USMCA trade deal, write @senatemajldr and\xe2\x80\xa6'"
74,1178866449965883392,2019-10-01 02:57:18,b'RT @IngrahamAngle: The president has maximum positive impact on the country (and his approval numbers) when he focuses on advancing his pea\xe2\x80\xa6'
75,1178841635716784129,2019-10-01 01:18:42,"b'Today, I was proud to sign the Autism CARES Bill! We support research for Americans with Autism and their families.\xe2\x80\xa6 https://t.co/DrbSSEzipM'"
76,1178821592421404678,2019-09-30 23:59:03,b'https://t.co/DJLYoma7KB'
77,1178820044802940929,2019-09-30 23:52:54,b'THANK YOU! https://t.co/zqbTTlbGmp'
78,1178780049610280960,2019-09-30 21:13:59,b'\xe2\x80\x9cHe misled (Rep. Adam Schiff) MILLIONS of people for the sake of making the case for impeachment. Completely fabric\xe2\x80\xa6 https://t.co/Ch76l4phvn'
79,1178767417075552257,2019-09-30 20:23:47,b'https://t.co/QqEbiqEKkx'
80,1178757901659365376,2019-09-30 19:45:58,"b'My great friend, @RepMarkMeadows, has been an EXCELLENT Chairman of the House @FreedomCaucus, which has been a trem\xe2\x80\xa6 https://t.co/P7WAw36Cwf'"
81,1178748369709256704,2019-09-30 19:08:06,"b'BIG NEWS by @Hyundai, @Kia, and @Aptiv on a 4 BILLION DOLLAR joint venture to develop autonomous driving technologi\xe2\x80\xa6 https://t.co/TIYsoMNiTa'"
82,1178747450120708097,2019-09-30 19:04:26,b'Great news! @Apple announced that it is building its new Mac Pro in Texas. This means hundreds of American jobs in\xe2\x80\xa6 https://t.co/p6lpqWd1YX'
83,1178745297830326274,2019-09-30 18:55:53,b'Navistar will be building a new 250 MILLION DOLLAR truck factory in San Antonio with 600 new jobs. Congratulations\xe2\x80\xa6 https://t.co/5U4MWzxKkz'
84,1178713441575608321,2019-09-30 16:49:18,"b'It was my Great Honor to attend this mornings Welcome Ceremony for the 20th Chairman of the Joint Chiefs of Staff,\xe2\x80\xa6 https://t.co/Uydq6PnX1A'"
85,1178671715624394757,2019-09-30 14:03:30,b'The Fake News Media wants to stay as far away as possible from the Ukraine and China deals made by the Bidens. A Co\xe2\x80\xa6 https://t.co/sMfEkcSkzX'
86,1178670564879343619,2019-09-30 13:58:55,"b'Very simple! I was looking for Corruption and also why Germany, France and others in the European Union don\xe2\x80\x99t do mo\xe2\x80\xa6 https://t.co/QYCX1IYMgj'"
87,1178668411183861760,2019-09-30 13:50:22,b'....they made this whole thing up. Impeachment is also a pre-emptive strike for what they think is coming on the Ob\xe2\x80\xa6 https://t.co/jx8inhDLiS'
88,1178668408566616064,2019-09-30 13:50:21,"b'\xe2\x80\x9cPresident Trump\xe2\x80\x99s Job Approval Numbers have just reached the highest level since his Inauguration, around 50%, and\xe2\x80\xa6 https://t.co/RTUdDK1bWv'"
89,1178651959051669504,2019-09-30 12:44:59,b'#FakeWhistleblower'
90,1178651638313226240,2019-09-30 12:43:43,b'WHO CHANGED THE LONG STANDING WHISTLEBLOWER RULES JUST BEFORE SUBMITTAL OF THE FAKE WHISTLEBLOWER REPORT? DRAIN THE SWAMP!'
91,1178650939374424067,2019-09-30 12:40:56,"b'Again, the President of Ukraine said there was NO (ZERO) PRESSURE PUT ON HIM BY ME. Case closed!'"
92,1178648671996526592,2019-09-30 12:31:56,"b'....place in TRADE, it\xe2\x80\x99s taking shape in Military Competition.\xe2\x80\x9d Johnathan Ward, author and China expert. We are win\xe2\x80\xa6 https://t.co/zBa01K39Ot'"
93,1178648670583042048,2019-09-30 12:31:55,"b'\xe2\x80\x9cAfter many years, the United States is finally waking up to Beijing\xe2\x80\x99s plans and ambitions to pass us as the domina\xe2\x80\xa6 https://t.co/lsUpDLZZv5'"
94,1178643854737772545,2019-09-30 12:12:47,"b'Rep. Adam Schiff illegally made up a FAKE &amp; terrible statement, pretended it to be mine as the most important part\xe2\x80\xa6 https://t.co/zRmd9IRWOX'"
95,1178641557097975809,2019-09-30 12:03:39,"b'The Fake Whistleblower complaint is not holding up. It is mostly about the call to the Ukrainian President which, i\xe2\x80\xa6 https://t.co/2FIn80dk3W'"
96,1178637628662538245,2019-09-30 11:48:03,b'\xe2\x80\x9cChina Trade Turmoil: China Urging a CALM AND RATIONAL Solution.\xe2\x80\x9d @MariaBartiromo @FoxBusiness China is doing very\xe2\x80\xa6 https://t.co/YQ7mkkvTk6'
97,1178635525328113669,2019-09-30 11:39:41,b'The Greatest Witch Hunt in the history of our Country!'
98,1178518307848278016,2019-09-30 03:53:55,"b""RT @GOPLeader: These are the most important facts we have:\n1. The whistleblower wasn't on the call.\n2. The IG didn't read the transcript be\xe2\x80\xa6"""
99,1178510879488389120,2019-09-30 03:24:24,b'RT @realDonaldTrump: I AM DRAINING THE SWAMP! https://t.co/U7WxKrO6Kx'
100,1178505032892846080,2019-09-30 03:01:10,b'https://t.co/hbSLaM3rGk'
101,1178500028085743622,2019-09-30 02:41:16,b'\xe2\x80\x9cThis is about proving that Donald Trump was framed by the Democrats.\xe2\x80\x9d @RudyGiuliani https://t.co/GIadp3b0n3'
102,1178497262550421504,2019-09-30 02:30:17,b'https://t.co/CKRQNECvRu'
103,1178477539653771264,2019-09-30 01:11:55,"b'....If the Democrats are successful in removing the President from office (which they will never be), it will cause\xe2\x80\xa6 https://t.co/3f1ERjlDXw'"
104,1178477538177425408,2019-09-30 01:11:54,"b'....Election, and negate the votes of millions of Evangelicals in the process. They know the only Impeachable offen\xe2\x80\xa6 https://t.co/VOkNCRcpbp'"
105,1178477536818413571,2019-09-30 01:11:54,b'....rid of Donald J. Trump - And the Democrats don\xe2\x80\x99t care if they burn down and destroy this nation in the process.\xe2\x80\xa6 https://t.co/zgEZt8uGC5'
106,1178477534347960321,2019-09-30 01:11:53,b'\xe2\x80\x9cNancy Pelosi and the Democrats can\xe2\x80\x99t put down the Impeachment match. They know they couldn\xe2\x80\x99t beat him in 2016 agai\xe2\x80\xa6 https://t.co/SbaHR0GnNA'
107,1178467237096775680,2019-09-30 00:30:58,"b'\xe2\x80\x9cState Department has stepped up Hillary Clinton Email probe.\xe2\x80\x9d @foxandfriends  You mean the 33,000 Emails that she\xe2\x80\xa6 https://t.co/yi4ovuJvir'"
108,1178465038643978243,2019-09-30 00:22:14,"b'....we are going to have an Election very shortly.\xe2\x80\x9d Rep. Jeff Van Drew, Democrat of New Jersey. @foxandfriends  Tha\xe2\x80\xa6 https://t.co/sz2EQ8pd3v'"
109,1178465036811034631,2019-09-30 00:22:14,"b'\xe2\x80\x9cAll that\xe2\x80\x99s swirling around us now is Impeachment. We talk about it day and night, it\xe2\x80\x99s what\xe2\x80\x99s on the news, there i\xe2\x80\xa6 https://t.co/n3BeIjW5fc'"
110,1178446179320942593,2019-09-29 23:07:18,"b'These Radical Left, Do Nothing Democrats, are doing great harm to our Country. They are lying &amp; cheating like never\xe2\x80\xa6 https://t.co/jKOpEGaCQ1'"
111,1178442765736333313,2019-09-29 22:53:44,"b'....In addition, I want to meet not only my accuser, who presented SECOND &amp; THIRD HAND INFORMATION, but also the pe\xe2\x80\xa6 https://t.co/QZXfd2kOtu'"
112,1178442762284404736,2019-09-29 22:53:43,b'His lies were made in perhaps the most blatant and sinister manner ever seen in the great Chamber. He wrote down an\xe2\x80\xa6 https://t.co/DUMJxtHb9B'
113,1178442759499370496,2019-09-29 22:53:42,"b'Like every American, I deserve to meet my accuser, especially when this accuser, the so-called \xe2\x80\x9cWhistleblower,\xe2\x80\x9d rep\xe2\x80\xa6 https://t.co/kD5WIu8A3E'"
114,1178372711439093765,2019-09-29 18:15:22,b'https://t.co/6S07ep4IdR'
115,1178372025901109256,2019-09-29 18:12:38,b'https://t.co/bzjqfhI6jn'
116,1178365721249759234,2019-09-29 17:47:35,"b'Wishing a Happy New Year to all of those celebrating Rosh Hashanah in America, Israel, and around the World! https://t.co/fpyewMEZuI'"
117,1178328262537285632,2019-09-29 15:18:44,b'https://t.co/vuFsgolfVO'
118,1178314883672215552,2019-09-29 14:25:34,b'RT @realDonaldTrump: Will happen to all of those seeking unlawful impeachment in 50 Trump type Districts. We will win big! https://t.co/aX5\xe2\x80\xa6'
119,1178314832786968576,2019-09-29 14:25:22,b'RT @realDonaldTrump: https://t.co/w6o2JkaxZ7'
120,1178314324575735810,2019-09-29 14:23:21,b'RT @lukepascal2: The real one mark Levin just totally curved Ed Henry and his fake news. Career is gone now! Can we face off Levin and worl\xe2\x80\xa6'
121,1178313529700622336,2019-09-29 14:20:12,b'Investigating Corruption is correct! https://t.co/kqn3pOZfoE'
122,1178312653732814849,2019-09-29 14:16:43,b'RT @steventatkinson: Mark Levin just mopped the floor with Ed Henry. #UkraineScandal'
123,1178312631691726849,2019-09-29 14:16:38,b'RT @JNedster: Saw the whole interview by @marklevinshow with Ed Henry. Why aren\xe2\x80\x99t there more reporters that can explain and bring the news\xe2\x80\xa6'
124,1178312517774389248,2019-09-29 14:16:10,b'RT @MaryGoulet: @JackPosobiec Ed Henry has been on a rant during other interviews asking the same dishonest question. He\xe2\x80\x99s showing his true\xe2\x80\xa6'
125,1178312503887093760,2019-09-29 14:16:07,"b""RT @notable_ink: Wondering what's been going on at Fox lately? Talk to Paul Ryan, he's got influence over there- Bigly! \n\nStill love ya, Ed\xe2\x80\xa6"""
126,1178312286127169536,2019-09-29 14:15:15,"b""RT @bobbie_locksley: #RT @realDonaldTrump: RT @RJCCW: Mark Levin just tore Ed Henry to shreds on Fox &amp; Friends like I've never seen before.\xe2\x80\xa6"""
127,1178312142703005696,2019-09-29 14:14:41,"b'RT @tbasharks: RT @BulldawgDerek: @foxandfriends A Sunday Morning; Amen Mark Levin, Preach Brother!  You shut down Ed Henry and the Pro Sha\xe2\x80\xa6'"
128,1178311788565336064,2019-09-29 14:13:17,b'RT @robcoltoff: @foxandfriends Mark Levin sure put that lying shit head Ed Henry in his place didn\xe2\x80\x99t he?'
129,1178311726883905542,2019-09-29 14:13:02,"b'RT @Rafbo5: https://t.co/PqlNFiulml  @edhenry Ed Henry implies that @POTUS  asked Ukraine President to ""dig up dirt on political rival.\xe2\x80\x9dPOT\xe2\x80\xa6'"
130,1178311620994457600,2019-09-29 14:12:37,"b'RT @jpsal123: @JillBernadette3 @edhenry Sorry Jill, I like Ed Henry but his question implied that the transcript specifically said \xe2\x80\x9cdig up\xe2\x80\xa6'"
131,1178311345944612865,2019-09-29 14:11:31,"b'RT @BulldawgDerek: @foxandfriends A Sunday Morning; Amen Mark Levin, Preach Brother!  You shut down Ed Henry and the fake news with the fac\xe2\x80\xa6'"
132,1178311276084318209,2019-09-29 14:11:14,b'RT @jh690208: Love You Mark Levin for calling Ed Henry out on Fox News. Ed Henry has turned into fake news ship him to CNN. Get Ed Henry of\xe2\x80\xa6'
133,1178311261949485056,2019-09-29 14:11:11,"b""RT @ep2one: Mark Levin took Ed Henry, Fox News, to school and exposed Henry's fake reporting and his  misrepresentation of  contents of doc\xe2\x80\xa6"""
134,1178311168324227072,2019-09-29 14:10:49,b'RT @Rosie4517: Wow Mark Levin just took Ed Henry to school on Fox!  Hey Ed you best not mess with the great  one!\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x87\xba\xf0\x9f\x87\xb8'
135,1178311095360073729,2019-09-29 14:10:31,b'So great Mark! https://t.co/GbwEnkFmwe'
136,1178309191049650178,2019-09-29 14:02:57,"b'RT @DuaneInskeep: I\xe2\x80\x99ve generally been a fan of Ed Henry, however Mark Levin just completely destroyed him on Fox and Friends this morning.'"
137,1178309140986376192,2019-09-29 14:02:45,b'RT @rmooredenton: Mark Levin @marklevinshow really let Ed Henry @EdHenryNews on @foxandfriends have it about corrupt news media.  Ed Henry\xe2\x80\xa6'
138,1178309108899991552,2019-09-29 14:02:38,"b'RT @RJCCW: Mark Levin just tore Ed Henry to shreds on Fox &amp; Friends like I\'ve never seen before. No wonder they call him the ""The Great One\xe2\x80\xa6'"
139,1178309095885017088,2019-09-29 14:02:35,"b'RT @nallieman: Ed Henry just got his ASS handed to him by Mark Levin.   Yes Ed, go ask Joe Biden'"
140,1178298078031437826,2019-09-29 13:18:48,b'https://t.co/w6o2JkaxZ7'
141,1178285698111168512,2019-09-29 12:29:36,b'Will happen to all of those seeking unlawful impeachment in 50 Trump type Districts. We will win big! https://t.co/aX5l9WrP1z'
142,1178283903490183168,2019-09-29 12:22:28,b'\xe2\x80\x9cThese are Trumped-Up Charges.\xe2\x80\x9d @PeteHegseth  @foxandfriends'
143,1178142518501879808,2019-09-29 03:00:39,b'The Fake News doesn\xe2\x80\x99t dare mention the corrupt Democrats! https://t.co/JIiOE2a2JF'
144,1178141727707848704,2019-09-29 02:57:31,b'RT @RNCResearch: National Border Patrol Council VP: President Trump \xe2\x80\x9ccares\xe2\x80\x9d about and \xe2\x80\x9cunderstands\xe2\x80\x9d problems on the border\nhttps://t.co/byF\xe2\x80\xa6'
145,1178141519099957250,2019-09-29 02:56:41,"b'RT @RNCResearch: Ian Bremmer: \xe2\x80\x9cBiden does have a problem,\xe2\x80\x9d Hunter Biden was paid ""clearly to be selling influence\xe2\x80\x9d\nhttps://t.co/0bJ518COnl\xe2\x80\xa6'"
146,1178140949656068096,2019-09-29 02:54:25,b'RT @RNCResearch: Sen. Graham: \xe2\x80\x9cto impeach any president over a phone call like this would be insane\xe2\x80\x9d\nhttps://t.co/pBdQzqhVGx https://t.co/w\xe2\x80\xa6'
147,1178140912523890690,2019-09-29 02:54:17,b'RT @RNCResearch: Rep. Matt Gaetz: bottom line is that there is no quid pro quo\nhttps://t.co/4zbJKTus9t https://t.co/iJhNTlzHqr'
148,1178140886678560768,2019-09-29 02:54:10,b'RT @RNCResearch: Bret Baier on Democrat speculation over Ukraine call: \xe2\x80\x9cnone of those things are in this transcript\xe2\x80\x9d\nhttps://t.co/Mw4XOcGhN\xe2\x80\xa6'
149,1178140826276417537,2019-09-29 02:53:56,b'RT @RNCResearch: Fox correspondent John Roberts: no \xe2\x80\x9cquid pro quo\xe2\x80\x9d mentioned in Ukraine call transcript\nhttps://t.co/ttovM9t3HG https://t.c\xe2\x80\xa6'
150,1178140775936385024,2019-09-29 02:53:44,"b'RT @RNCResearch: Rep. Ratcliffe: \xe2\x80\x9conce again, their impeachment search party came up empty\xe2\x80\x9d\nhttps://t.co/W8T3i7C11a https://t.co/8lyE04vxeY'"
151,1178140734995779584,2019-09-29 02:53:34,"b'RT @RNCResearch: FLASHBACK: In 1998, Pelosi blasts impeachment for \xe2\x80\x9cany and all grievances that anybody ever had""\nhttps://t.co/boz6nrA5ho h\xe2\x80\xa6'"
